time,kafka_connect,risingwave,clickhouse,redpanda,malut_clone
18:37:45,1511,7216,750,690,166
18:37:48,1511,7218,688,690,166
18:37:52,1512,7218,678,690,166
18:37:55,1512,7218,682,690,166
18:37:58,1512,7215,679,690,166
18:38:02,1518,7216,688,690,166
18:38:05,1517,7215,683,691,166
18:38:09,1517,7566,698,691,166
18:38:12,1516,7772,691,691,166
18:38:16,1491,7792,682,679,164
18:38:20,1481,7712,670,671,163
18:38:23,1466,7716,724,662,163
18:38:27,1463,7680,668,660,162
18:38:30,1464,7599,672,660,162
18:38:33,1464,7599,672,660,164
18:38:37,1462,7572,660,658,265
18:38:41,1460,7462,673,656,251
18:38:44,1457,7418,666,654,245
18:38:47,1457,7410,670,654,268
18:38:51,1457,7401,661,654,268
18:38:54,1456,7396,672,653,268
18:38:58,1456,7386,667,653,268
18:39:01,1456,7380,703,652,268
18:39:04,1455,7369,683,652,268
18:39:08,1471,7370,671,653,248
18:39:12,1488,7355,691,664,241
18:39:15,1556,7352,691,667,240
18:39:19,1599,7301,696,688,240
18:39:22,1602,7322,738,692,238
18:39:26,1611,7250,718,694,238
18:39:30,1629,7251,747,695,238
18:39:33,1671,7174,711,698,239
18:39:37,1683,7201,691,706,239
18:39:41,1722,7172,746,703,238
18:39:44,1723,7242,698,693,238
18:39:48,1718,7255,748,689,236
18:39:51,1712,7244,741,688,239
18:39:54,1710,7176,722,691,241
18:39:58,1717,7193,722,688,241
18:40:02,1707,7221,715,684,239
18:40:05,1701,7195,702,685,239
18:40:09,1701,6985,678,688,241
18:40:12,1722,7100,692,691,243
18:40:16,1689,7134,682,685,241
18:40:20,1683,7134,722,680,240
18:40:23,1685,7063,675,681,239
18:40:27,1686,6982,711,682,240
18:40:31,1517,6932,681,686,242
18:40:34,1625,7019,710,696,247
18:40:37,1636,6940,711,695,246
18:40:41,1657,6864,709,696,247
18:40:44,1734,6972,749,695,247
18:40:48,1842,6895,749,690,249
18:40:52,1898,6760,715,687,251
18:40:55,1940,6812,720,686,253
18:40:59,1963,6742,790,680,252
18:41:03,1997,6704,715,684,252
18:41:07,2000,6615,730,685,252
18:41:10,1993,6632,747,684,250
18:41:14,1992,6605,720,682,247
18:41:18,1994,6590,720,681,246
18:41:22,2000,6578,723,680,246
18:41:25,2004,6587,698,680,246
18:41:30,2002,6584,725,678,244
18:41:33,2002,6646,701,677,246
18:41:37,2002,6590,758,675,245
18:41:41,2007,6498,743,676,245
18:41:45,2021,6569,715,678,248
18:41:49,2028,6563,743,677,249
18:41:53,2028,6576,732,677,252
18:41:56,2042,6580,727,677,253
18:42:00,2046,6602,762,678,254
18:42:04,2045,6595,722,681,256
18:42:07,2044,6575,740,682,257
18:42:11,2044,6579,764,681,258
18:42:14,2045,6542,756,684,259
18:42:18,2043,6633,750,685,260
18:42:22,2043,6623,743,686,259
18:42:25,2043,6590,734,688,262
18:42:29,2043,6617,745,688,261
18:42:33,2044,6585,755,688,263
18:42:37,2044,6520,772,690,265
18:42:40,2045,6505,741,692,264
18:42:45,2046,6557,728,694,263
18:42:49,2046,6557,764,697,264
18:42:53,2049,6523,736,699,265
18:42:56,2051,6491,783,702,265
18:43:00,2052,6490,788,706,266
18:43:04,2055,6503,754,712,268
18:43:07,2056,6501,759,712,268
18:43:11,2056,6510,791,712,270
18:43:14,2056,6391,746,712,271
18:43:18,2057,6372,758,713,271
18:43:21,2059,6382,770,714,272
18:43:25,2061,6520,752,712,271
18:43:28,2060,6449,749,714,271
18:43:32,2063,6480,814,714,272
18:43:35,2063,6584,793,714,272
18:43:39,2066,6590,821,712,270
18:43:43,2079,6568,772,710,265
18:43:46,2088,6501,763,711,266
18:43:50,2088,6415,817,711,269
18:43:54,2110,6560,762,709,267
18:43:57,2120,6540,755,708,268
18:44:01,2164,6586,748,699,265
18:44:04,2178,6555,754,697,263
18:44:09,1646,6637,733,697,265
18:44:13,1646,6689,810,697,265
18:44:16,1647,6644,751,697,265
